profile_id,display_name,status,old_questions,new_questions,rejected,error,knowledge_titles
6b764436-4a96-4e7e-b23f-b2a8072c48f5,考研老王,generated,"[""从本科双非到跨考985计算机有哪些经验？"",""关于「985计算机硕士，三个月上岸选手」能分享什么？"",""关于计算机有什么建议？""]","[""最后三个月如何冲刺安排？"",""计组抽象怎么反复看？"",""专业课408的复习顺序是？""]","[{""question"":""数学真题怎么刷三遍？"",""reason"":""no_knowledge_evidence""},{""question"":""8数据结构怎么复习？"",""reason"":""leading_number""},{""question"":""考研心态崩了怎么办？"",""reason"":""no_knowledge_evidence""}]",,数学复习策略 | 专业课408复习 | 备考心态管理 | 最后三个月冲刺安排
ec31eb00-b769-4d32-b96d-92c92b2f113d,语音测试Agent,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""测试语音功能怎么跑脚本？"",""TTS 测试需要注意什么？""]","[{""question"":""语音测试脚本怎么设计？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent需要几条知识库？"",""reason"":""no_knowledge_evidence""},{""question"":""怎么确认TTS运行正常？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试有哪些常见踩坑？"",""reason"":""no_knowledge_evidence""}]",only 2 accepted questions,示例经历 | 第二条
43bdf17a-9172-460a-8b4d-7b63b0356514,测0667504,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""创建Agent对知识库有什么要求？""]","[{""question"":""测试语音功能需要哪些步骤？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS测试脚本怎么编写？"",""reason"":""no_knowledge_evidence""},{""question"":""语音功能测试有哪些踩坑点？"",""reason"":""no_knowledge_evidence""},{""question"":""跑脚本确认TTS正常可行吗？"",""reason"":""no_knowledge_evidence""},{""question"":""测试方向如何积累经验？"",""reason"":""no_knowledge_evidence""}]",only 1 accepted questions,示例经历 | 第二条
81e75041-58ca-4cbc-9183-3dc16187cde9,测1031095,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""测试语音功能怎么测？""]","[{""question"":""跑脚本确认TTS要注意什么？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent知识库至少几条？"",""reason"":""no_knowledge_evidence""},{""question"":""语音功能测试有哪些步骤？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS脚本测试常见问题？"",""reason"":""no_knowledge_evidence""},{""question"":""知识库条目数量要求是多少？"",""reason"":""no_knowledge_evidence""}]",only 1 accepted questions,示例经历 | 第二条
c34474cd-a5e2-4aff-a9de-39cd7cb6bd60,测1885479,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]",[],"[{""question"":""测试语音功能时脚本怎么跑？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS测试有什么常见坑？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试一般先检查什么？"",""reason"":""no_knowledge_evidence""},{""question"":""测试脚本需要覆盖哪些场景？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS功能测试用什么工具？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试的流程是怎样的？"",""reason"":""no_knowledge_evidence""}]",only 0 accepted questions,示例经历 | 第二条
2457b627-f646-49a3-bba3-b6f7780781ff,测3709219,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""测试语音功能怎么跑脚本？""]","[{""question"":""TTS测试有哪些关键点？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent至少需要几条知识库？"",""reason"":""no_knowledge_evidence""},{""question"":""Agent创建有什么硬性要求？"",""reason"":""no_knowledge_evidence""},{""question"":""语音功能测试踩过什么坑？"",""reason"":""no_knowledge_evidence""},{""question"":""测试脚本如何保证TTS正常？"",""reason"":""no_knowledge_evidence""}]",only 1 accepted questions,示例经历 | 第二条
ba643f47-f113-4eac-b03e-8a249a1b47f7,测5222257,generated,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""怎么确认 TTS 是否正常？"",""创建 Agent 最少要几条知识库？"",""Agent 知识库条目不够怎么办？""]","[{""question"":""测试语音功能前先做什么？"",""reason"":""no_knowledge_evidence""},{""question"":""测试脚本一般跑什么内容？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试用脚本怎么跑？"",""reason"":""no_knowledge_evidence""}]",,示例经历 | 第二条
10000000-0000-0000-0000-000000000002,活泼牢大,failed_quality_gate,"[""公开报道里常提的那套有什么实战经验？"",""不冒充真人私信、不编一起吃泡面看球的细节有什么实战经验？"",""知识库里有的方向有什么实战经验？"",""失败、复盘、再来一季有什么实战经验？""]","[""emo了怎么快速调整？"",""换城市怎么快速适应？""]","[{""question"":""怎么克服拖延开始行动？"",""reason"":""no_knowledge_evidence""},{""question"":""野球场社恐怎么加入？"",""reason"":""no_knowledge_evidence""},{""question"":""被人质疑能力怎么回应？"",""reason"":""no_knowledge_evidence""},{""question"":""考砸了怎么复盘调整？"",""reason"":""no_knowledge_evidence""}]",only 2 accepted questions,「先动五分钟」专治各种不想动 | emo了可以丧，但别单曲循环 | 想打球又怕尴尬？从「捡球」开始社交 | 童年换环境＝新手村重开，先别慌 | 新秀被喷「太狂」？用结果让噪音闭嘴 | 双核吵架还能夺冠？学「场上互补」别学八卦 | 别人说你「没谁谁就不行」？别被二元对立PUA | 81分那种夜晚：手感是平时堆出来的
10ff8b66-fc03-4e3f-8296-0e46c23b97e2,迷茫的引路人,generated,"[""象义匹配具体要注意什么？"",""体用分析可以对应哪些去向？"",""动爻初爻可以对应哪些去向？"",""第一步（对应初爻可以对应哪些去向？""]","[""时间起卦的具体步骤是什么？"",""卦对应哪些职业特质？"",""咨询前需要提供哪些信息？"",""动爻如何转化为分阶段行动？""]","[{""question"":""真太阳时校准要注意什么？"",""reason"":""no_knowledge_evidence""},{""question"":""日柱丙申有什么共性特征？"",""reason"":""no_knowledge_evidence""}]",,职业身份与服务定位 | 非线性收入与高不确定性服务模式 | 开启对话的玄学式共情 | 我用易经做职业规划，核心不是“算吉凶”，… | 三步决策法：定卦定位→读象析势→用爻定策 | 易经职业规划三步决策法 | 玄学为方法论的职业咨询 | 易经职业规划三步决策法
28283a20-ce3c-49ce-8a03-6362d79421a0,Leo_真的不熬夜,generated,"[""关于凝思知其所向，笃行方至其远有什么经验？"",""关于985有什么建议？""]","[""数学和专业课时间怎么分配？"",""复试逆袭常见吗？"",""机试需要多少编程基础？"",""面试英语口语怎么准备？""]","[{""question"":""月考研来得及吗？"",""reason"":""no_knowledge_evidence""},{""question"":""政治只学两周够用吗？"",""reason"":""no_knowledge_evidence""}]",,研途榜样｜凝思知其所向，笃行方至其远
338890c8-8778-41e6-97b0-1408b0039a85,🍊橙子味的周二,failed_quality_gate,"[""关于研途备考凝力，榜样传经上岸有什么经验？"",""关于211有什么建议？""]","[""志愿浙大软院被刷后怎么调剂？""]","[{""question"":""计算机考研选11408还是22408？"",""reason"":""no_knowledge_evidence""},{""question"":""8四本书要过几遍？"",""reason"":""leading_number""},{""question"":""考研政治什么时候开始复习？"",""reason"":""no_knowledge_evidence""},{""question"":""考研复试被刷后调剂流程是怎样的？"",""reason"":""no_knowledge_evidence""},{""question"":""考研一定要考985或211吗？"",""reason"":""no_knowledge_evidence""}]",only 1 accepted questions,研途榜样｜研途备考凝力，榜样传经上岸
