profile_id,display_name,status,old_questions,new_questions,rejected,error,knowledge_titles
6b764436-4a96-4e7e-b23f-b2a8072c48f5,考研老王,failed_quality_gate,"[""从本科双非到跨考985计算机有哪些经验？"",""关于「985计算机硕士，三个月上岸选手」能分享什么？"",""关于计算机有什么建议？""]","[""最后三个月怎么安排时间？""]","[{""question"":""数学真题刷几遍比较好？"",""reason"":""no_knowledge_evidence""},{""question"":""8数据结构怎么复习？"",""reason"":""leading_number""},{""question"":""备考心态崩了怎么办？"",""reason"":""no_knowledge_evidence""},{""question"":""数学跟哪个老师比较好？"",""reason"":""no_knowledge_evidence""},{""question"":""8四门课侧重点是什么？"",""reason"":""leading_number""}]",only 1 accepted questions,数学复习策略 | 专业课408复习 | 备考心态管理 | 最后三个月冲刺安排
ec31eb00-b769-4d32-b96d-92c92b2f113d,语音测试Agent,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]",[],"[{""question"":""语音测试脚本怎么跑？"",""reason"":""no_knowledge_evidence""},{""question"":""测试TTS有哪些关键点？"",""reason"":""no_knowledge_evidence""},{""question"":""语音功能测试注意什么？"",""reason"":""no_knowledge_evidence""},{""question"":""怎么确认TTS输出正常？"",""reason"":""no_knowledge_evidence""},{""question"":""测试语音时脚本怎么写？"",""reason"":""no_knowledge_evidence""},{""question"":""跑脚本测试语音的步骤？"",""reason"":""no_knowledge_evidence""}]",only 0 accepted questions,示例经历 | 第二条
43bdf17a-9172-460a-8b4d-7b63b0356514,测0667504,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""测试语音功能怎么跑脚本？""]","[{""question"":""TTS测试如何确认正常？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent知识库必须两条吗？"",""reason"":""no_knowledge_evidence""},{""question"":""语音功能测试有哪些脚本步骤？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS异常时怎么排查？"",""reason"":""no_knowledge_evidence""},{""question"":""Agent知识库条目数有最低要求吗？"",""reason"":""no_knowledge_evidence""}]",only 1 accepted questions,示例经历 | 第二条
81e75041-58ca-4cbc-9183-3dc16187cde9,测1031095,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""测试语音功能怎么跑脚本？"",""测试用Agent有什么要求？""]","[{""question"":""TTS测试有哪些注意点？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试常见坑有哪些？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent需要几条知识库？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试脚本怎么写？"",""reason"":""no_knowledge_evidence""}]",only 2 accepted questions,示例经历 | 第二条
c34474cd-a5e2-4aff-a9de-39cd7cb6bd60,测1885479,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]","[""测试语音功能怎么跑脚本？""]","[{""question"":""如何确认TTS正常？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent要几条知识库？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试脚本要注意什么？"",""reason"":""no_knowledge_evidence""},{""question"":""TTS测试有哪些步骤？"",""reason"":""no_knowledge_evidence""},{""question"":""知识库条目数量有要求吗？"",""reason"":""no_knowledge_evidence""}]",only 1 accepted questions,示例经历 | 第二条
2457b627-f646-49a3-bba3-b6f7780781ff,测3709219,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]",[],"[{""question"":""测试语音功能具体怎么测？"",""reason"":""no_knowledge_evidence""},{""question"":""跑脚本确认TTS正常够吗？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent知识库要几条？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试有哪些注意事项？"",""reason"":""no_knowledge_evidence""},{""question"":""测试脚本一般怎么编写？"",""reason"":""no_knowledge_evidence""},{""question"":""语音功能测试踩过哪些坑？"",""reason"":""no_knowledge_evidence""}]",only 0 accepted questions,示例经历 | 第二条
ba643f47-f113-4eac-b03e-8a249a1b47f7,测5222257,failed_quality_gate,"[""测试方向求职要注意什么？"",""关于「测试用」能分享什么？"",""关于测试有什么建议？""]",[],"[{""question"":""测试语音功能要跑脚本吗？"",""reason"":""no_knowledge_evidence""},{""question"":""怎么确认TTS是否正常？"",""reason"":""no_knowledge_evidence""},{""question"":""创建Agent至少需要几条知识库？"",""reason"":""no_knowledge_evidence""},{""question"":""跑脚本测试TTS是怎么做的？"",""reason"":""no_knowledge_evidence""},{""question"":""语音测试脚本通常怎么写？"",""reason"":""no_knowledge_evidence""},{""question"":""Agent创建的最低条目要求？"",""reason"":""no_knowledge_evidence""}]",only 0 accepted questions,示例经历 | 第二条
10000000-0000-0000-0000-000000000002,活泼牢大,failed_quality_gate,"[""公开报道里常提的那套有什么实战经验？"",""不冒充真人私信、不编一起吃泡面看球的细节有什么实战经验？"",""知识库里有的方向有什么实战经验？"",""失败、复盘、再来一季有什么实战经验？""]","[""换学校怎么快速适应？"",""曼巴精神怎么落地？""]","[{""question"":""先动五分钟具体怎么操作？"",""reason"":""no_knowledge_evidence""},{""question"":""野球场社恐怎么破冰？"",""reason"":""no_knowledge_evidence""},{""question"":""被骂太狂用什么证明？"",""reason"":""no_knowledge_evidence""},{""question"":""输比赛后怎么调整心态？"",""reason"":""no_knowledge_evidence""}]",only 2 accepted questions,「先动五分钟」专治各种不想动 | emo了可以丧，但别单曲循环 | 想打球又怕尴尬？从「捡球」开始社交 | 童年换环境＝新手村重开，先别慌 | 新秀被喷「太狂」？用结果让噪音闭嘴 | 双核吵架还能夺冠？学「场上互补」别学八卦 | 别人说你「没谁谁就不行」？别被二元对立PUA | 81分那种夜晚：手感是平时堆出来的
10ff8b66-fc03-4e3f-8296-0e46c23b97e2,迷茫的引路人,written,"[""象义匹配具体要注意什么？"",""体用分析可以对应哪些去向？"",""动爻初爻可以对应哪些去向？"",""第一步（对应初爻可以对应哪些去向？""]","[""易经怎么帮做职业决策？"",""卦对应哪些职业方向？"",""真太阳时怎么校准排盘？""]","[{""question"":""动爻初爻代表什么含义？"",""reason"":""no_knowledge_evidence""},{""question"":""日柱丙申有什么职业特点？"",""reason"":""no_knowledge_evidence""},{""question"":""咨询流程是语音还是文字？"",""reason"":""no_knowledge_evidence""}]",,职业身份与服务定位 | 非线性收入与高不确定性服务模式 | 开启对话的玄学式共情 | 我用易经做职业规划，核心不是“算吉凶”，… | 三步决策法：定卦定位→读象析势→用爻定策 | 易经职业规划三步决策法 | 玄学为方法论的职业咨询 | 易经职业规划三步决策法
28283a20-ce3c-49ce-8a03-6362d79421a0,Leo_真的不熬夜,written,"[""关于凝思知其所向，笃行方至其远有什么经验？"",""关于985有什么建议？""]","[""数学和专业课时间怎么分配？"",""真题阶段怎么吃透？"",""复试机试怎么准备？"",""面试有哪些考察重点？""]","[{""question"":""个月备考时间怎么安排？"",""reason"":""no_knowledge_evidence""},{""question"":""政治只学两周够吗？"",""reason"":""no_knowledge_evidence""}]",,研途榜样｜凝思知其所向，笃行方至其远
